status_id,text,favorite_count,retweet_count,place_name,country_code
1071061060038352897,RT @Azure: When is #Azure pay-as-you-go right for you? Watch and find out: https://t.co/LwSqb4xAYI,0,15,NA,NA
1071060925539590145,"RT @SpaceShot: Did you know Azure DataFest in Malvern is streaming all day on the @PhillyDotNet channel on @WatchMixer?

https://t.co/LDzTG…",0,2,NA,NA
1071060881633673216,"RT @VSSubscriptions: There are some new Azure Cosmos DB Developer experience updates rolling out. Support now includes:
- #dotNET SDK v3.0…",0,10,NA,NA
1071060829888483331,@ASgmbv @Azure_Caelo В чистом виде,1,0,Rutherford,US
1071060812909826049,RT @Ultrashroomz: Being a #Persona fan in 2018 has been f***ing wild! https://t.co/OoBJxNLJ14,0,377,NA,NA
1071060524450889728,RT @kevchant: Luckily I was due to publish this #sqlserver post when this week's #Azure Managed Instances announcements came out so put the…,0,1,NA,NA
1071060509288525826,Like I said beginning of next year I need to break a big monolith web app to Microservices and move the workload in Azure.  I will write a blog about it and the challenges I will face,0,0,Montréal,CA
1071060437624512513,"RT @VSSubscriptions: There are some new Azure Cosmos DB Developer experience updates rolling out. Support now includes:
- #dotNET SDK v3.0…",0,10,NA,NA
1071059933255426048,". @Nick_Craver are all ops positions effectively Pacific TZ due to Aussie support hours? Or are some staggered?

https://t.co/GLi9aCrLTL",0,0,NA,NA
1071059877877866496,"RT @VSSubscriptions: There are some new Azure Cosmos DB Developer experience updates rolling out. Support now includes:
- #dotNET SDK v3.0…",0,10,NA,NA
1071059382878769154,Migrating to Microsoft: VMware to Hyper-V and Microsoft Azure [hashtags] - https://t.co/iEGrNOG4kg,0,0,NA,NA
1071059374188171264,Protecting Your VMware and Physical Servers by Using Microsoft Azure Site Recove [hashtags] - https://t.co/YKwgFltJ8V,0,0,NA,NA
1071059367754125312,Deploying and Managing Services with Microsoft Azure Service Fabric [hashtags] - https://t.co/yvoU96yKvy,0,0,NA,NA
1071059301681254400,Accelerating IoT solution development and testing with Azure IoT Device Simulation https://t.co/IiwssybTPr,0,0,NA,NA
1071059246966439936,"RT @vCloud_Storage: RT @AzureWeekly: From the #Azure blog, Azure #CosmosDB and multi-tenant systems from Rafat Sarosh https://t.co/QmruKM0X…",0,0,NA,NA
1071058945798635520,"RT @Nash076: I'MA BUY 8 COPIES

ONE FOR ME, ONE FOR MY GIRLFRIEND, ONE FOR MY DOG AND FIVE FOR MY CAT https://t.co/bvdK0friAf",0,12,NA,NA
1071058906401660931,RT @Nash076: HEY BETHESDA YOU COULD HAVE HAD THEM DEVELOP YOU A NEW FALLOUT BEFORE MICROSOFT BOUGHT THEM BUT *OH NO* YOU JUST HAD TO DO YOU…,0,30,NA,NA
1071058884738060288,"RT @Nash076: DAT

SHADE https://t.co/0J1kyVs0aA",0,40,NA,NA
1071058538800267264,RT @Azure: Get detailed guidance on how Microsoft planned and implemented its #app modernization strategy with #Azure. Get the e-book: http…,0,12,NA,NA
1071058114559000576,"Luckily I was due to publish this #sqlserver post when this week's #Azure Managed Instances announcements came out so put them in here instead of sharing the link. Whatever other members of the #sqlfamily are up to this weekend, enjoy #sqlpass #sqlbits #SQLSaturday https://t.co/Uw0Xp16gUr",0,1,NA,NA
1071057999047860224,"Knowing what will happen to your #IoT service when you decide to scale up can be difficult. There's an open-source solution that plugs into Azure that allows you to simulate *millions* of devices (and it was just updated).

https://t.co/l7tJMU3zX6",1,0,NA,NA
1071057853115445251,"RT @_s_hari: Even if you're not #Azure based, this is an excellent starter book on #Serverless architecture and patterns by @jeremylikness…",0,3,NA,NA
1071057831057489920,"Even if you're not #Azure based, this is an excellent starter book on #Serverless architecture and patterns by @jeremylikness https://t.co/TEc1oTJRPi shout out to contributor @cecilphillip",2,3,NA,NA
1071057730973052928,RT @Darmour_MSFT: ICYMI: The Docker VM Extension is no longer available in the #Azure or #AzureStack marketplace. Since Cloud-Init is not y…,0,14,NA,NA
1071057166419836929,"Blogged: Upload Data to Azure ML Studio
https://t.co/lM8mAkL7UB",0,0,NA,NA
1071057134375354370,"90% of data was created in the last 2 years, but most businesses aren't using it. Is your company unlocking the potential of its data? #Azure https://t.co/CzdxmBBbcb",0,0,NA,NA
1071057086241521665,"RT @Azure: Learn how to use #AI-powered #Azure Cognitive Search to create a data-enrichment pipeline that feeds into a search index. Watch,…",0,6,NA,NA
1071057050556395520,"Azure Data Explorer (ADX) is a lightning fast service optimized for data exploration. This blog describes the basics of time series analysis in Azure Data Explorer.
RT @AzureWeekly: From the #Azure blog, Time series analysis in #AzureDataExplorer https://t.co/CRneD6BkIx",0,0,NA,NA
1071057042142621696,"For Oceaneering International, sending TBs of data used to take 7 months, now with Azure, it takes 7 days. #Microsoft #Azure #Cloud https://t.co/l4ugNvhdv7",0,0,NA,NA
1071056782733193216,"Today’s featured stone is a combination of Azurite and Malachite! Azurite is a secondary Copper mineral, and named for its deep blue (or azure) coloring. Azurite is famous for its many different... https://t.co/ijs6hQorm9",1,0,NA,NA
1071056772776017920,When is #Azure pay-as-you-go right for you? Watch and find out: https://t.co/rZRNEkPYNP,0,0,NA,NA
1071056758255292417,"RT @JonRocheAtZayo: Colocation and cloud go hand-in-hand, and by combining zColo and @CloudLinkbyZayo, it has never been easier to take adv…",0,1,NA,NA
1071056751057874945,"#Azure Blockchain, Xamarin &amp; MvvmCross, and More on the Friday Five! https://t.co/Rs71VYcNgF",0,0,NA,NA
1071056743013195776,#MSFTAdvocate https://t.co/8iV73cJZFU,0,0,NA,NA
1071056739678732288,"Learn how to use #AI-powered #Azure Cognitive Search to create a data-enrichment pipeline that feeds into a search index. Watch, on-demand: https://t.co/38kCrezYhP",8,6,NA,NA
1071056433746194437,RT @madhanwa: @elastacloud transforms the future of UK energy—and its own business—with @Azure Machine Learning and #AKS https://t.co/SjyF3…,0,1,NA,NA
1071056202711281667,RT @Adam1Wang: @weimojie1 @azure_fqzy @chinashiyu 😂双关语？,0,2,NA,NA
1071056142783123456,"RT @RedkaElena: Using #Azure Update Management on #AzureStack 
@ThomasMaurer 
https://t.co/vmQpRGSF08 #Microsoft",0,3,NA,NA
1071056014655537152,@weimojie1 @azure_fqzy @chinashiyu 😂😄,2,0,NA,NA
1071055729124089856,"It's amazing how many services there are on AWS.  Same with Azure.  Impossible to know all of them well.  2010 doesn't seem that long ago when the cloud for me was Rackspace with Windows Server VMs (without root access!) and not cheap.  Now, totally different story. https://t.co/WoXw5ckTQ2",1,0,NA,NA
1071055712342691840,"Colocation and cloud go hand-in-hand, and by combining zColo and @CloudLinkbyZayo, it has never been easier to take advantage of the best of both worlds.

#colocation #cloudcomputing #datacenter #aws #azure #cloudstorage #CloudLink #Cloud https://t.co/5LhImKfcYp",0,1,NA,NA
1071055548840374272,"RT @techbeardio: Cool service. If I understand it correctly, it basically let's you expand K8s worker capacity on demand without adding nod…",0,1,NA,NA
1071055526677635072,"Cool service. If I understand it correctly, it basically let's you expand K8s worker capacity on demand without adding nodes. 

Want more container help? Call us at @Boxboat. 

Bringing #serverless to Azure #Kubernetes Service. https://t.co/2UIwoJjiC3",0,1,NA,NA
1071055238113738753,@azure_fqzy @chinashiyu 有人回复说你下面给鱼大爷吃，真的吗？吃什么卤呢？,0,0,NA,NA
1071055231239233536,Johnson Controls tackles a $15b building industry problem with Azure Cosmos DB https://t.co/3Z5kKcraC8,3,0,NA,NA
1071055055367880704,Welcome team @Azure to the best kept secret in enterprise tech: BOSH https://t.co/UwZcILy5Ui,2,0,NA,NA
1071054827843657728,RT @Darmour_MSFT: #AzureStack is consistent w/ #Azure for building #HybridApps &amp; #HybridCloud. But its not the same. E.g: its a separate in…,0,7,NA,NA
1071054749817061376,RT @Densify: Ops teams are charged with finding the ideal balance between application demand and public cloud supply. Given the complexity…,0,21,NA,NA
1071054711078432768,"RT @onlinecomputers: In a recent survey, 81% of the IT pro respondents said they have a multi-cloud strategy for their business. Are you on…",0,1,NA,NA
1071054709530648576,@pontes_martins @kelseyhightower @awscloud No need to wait for that kind of capability https://t.co/AVGpRmVi9j,2,0,NA,NA
1071054281657208838,"In a recent survey, 81% of the IT pro respondents said they have a multi-cloud strategy for their business. Are you one of the 81%? #Azure https://t.co/HpuT8AzaLl",0,1,NA,NA
1071054090040471553,RT @fberson: Windows Virtual Desktop Public Preview moved to Q1 2019 #MSWVD sign up to get notified here: https://t.co/4R1leDM0K9,0,2,NA,NA
1071054020045824002,RT @Densify: Ops teams are charged with finding the ideal balance between application demand and public cloud supply. Given the complexity…,0,21,NA,NA
1071054007723008001,"Check out ""Global Azure Bootcamp 2019 - Philadelphia Edition"" coming in April. Register early! #GlobalAzure https://t.co/zZwWhYNObF @Eventbrite",0,0,NA,NA
1071053935467671559,"Updates from Microsoft Ignite: Bot Framework, #AI, Azure and Much More - NewsPatrolling https://t.co/mkDv2yXCDp https://t.co/79leb1GRMd",0,0,NA,NA
1071053906363314177,RT @Darmour_MSFT: #AzureStack is consistent w/ #Azure for building #HybridApps &amp; #HybridCloud. But its not the same. E.g: its a separate in…,0,7,NA,NA
1071053693343084544,RT @mr_ess3ntial: RT if you can hear this image https://t.co/IV8t1Xo8Ob,0,3849,NA,NA
1071053499906052096,Plot: I was cast out of the Azure Triumvirate. My Green Scimitar taken from me. My Shield divided. I wandered the Ermine Mountain for countless ages with my Ascendant Purity as my only Comfort.,0,0,NA,NA
